MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:95624	Gabrg3	gamma-aminobutyric acid (GABA) A receptor, subunit gamma 3	7		GABA-A receptor activity			ISO	RGD:621735 	J:155856 	
MGI:95624	Gabrg3	gamma-aminobutyric acid (GABA) A receptor, subunit gamma 3	7		GABA-gated chloride ion channel activity			IBA	PTN000436343 	J:265628 	
MGI:2387597	Gabrp	gamma-aminobutyric acid (GABA) A receptor, pi	11	contributes_to	GABA-A receptor activity			IBA	PTN000435002 	J:265628 	
MGI:2387597	Gabrp	gamma-aminobutyric acid (GABA) A receptor, pi	11	contributes_to	GABA-A receptor activity			ISO	RGD:620532 	J:155856 	
MGI:1888498	Gabrq	gamma-aminobutyric acid (GABA) A receptor, subunit theta	X		GABA-A receptor activity			ISS		J:62100 	
MGI:95625	Gabrr1	gamma-aminobutyric acid (GABA) C receptor, subunit rho 1	4		GABA receptor activity			ISO	RGD:61900 	J:155856 	
MGI:95625	Gabrr1	gamma-aminobutyric acid (GABA) C receptor, subunit rho 1	4	contributes_to	GABA-A receptor activity			IBA	PTN000435002 	J:265628 	
MGI:95626	Gabrr2	gamma-aminobutyric acid (GABA) C receptor, subunit rho 2	4	contributes_to	GABA-A receptor activity			IBA	PTN000435002 	J:265628 	
MGI:95626	Gabrr2	gamma-aminobutyric acid (GABA) C receptor, subunit rho 2	4		GABA-A receptor activity			IMP	MGI:2446461 	J:76682 	
MGI:95626	Gabrr2	gamma-aminobutyric acid (GABA) C receptor, subunit rho 2	4		GABA-A receptor activity			ISO	RGD:61902 	J:155856 	
MGI:3588203	Gabrr3	gamma-aminobutyric acid (GABA) receptor, rho 3	16	contributes_to	GABA-A receptor activity			IBA	PTN000435002 	J:265628 	
MGI:2653880	Gpr156	G protein-coupled receptor 156	16		G protein-coupled GABA receptor activity			IBA	PTN000054983 	J:265628 	

